股票代號,股票名稱,股數,持股權重
1590,亞德客-KY,528000,0.27
2002,中鋼,5163000,0.03
2049,上銀,1080000,0.13
2303,聯電,87718000,3.45
2308,台達電,6505000,3.53
2313,華通,1000,0.0
2317,鴻海,1000,0.0
2327,國巨*,25437000,4.69
2330,台積電,12134000,9.28
2345,智邦,6419000,5.0
2360,致茂,472000,0.3
2368,金像電,5000000,1.59
2382,廣達,1000,0.0
2383,台光電,4863000,8.34
2408,南亞科,940000,0.14
2439,美律,1000,0.0
2449,京元電子,11295450,0.91
2454,聯發科,5448000,6.9
3008,大立光,1000,0.0
3017,奇鋐,5801000,5.51
3037,欣興,20210000,6.36
3264,欣銓,1508000,0.1
3376,新日興,1741000,0.11
3443,創意,1000,0.0
3533,嘉澤,1000,0.0
3653,健策,2375000,3.42
3661,世芯-KY,1000,0.0
3665,貿聯-KY,5130848,3.93
3711,日月光投控,17439000,3.35
4958,臻鼎-KY,1682000,0.26
4966,譜瑞-KY,140000,0.03
4979,華星光,1874000,0.3
5274,信驊,454900,2.46
5347,世界,1000,0.0
6187,萬潤,1334000,0.51
6191,精成科,3988000,0.11
6223,旺矽,2443000,4.98
6271,同欣電,2224000,0.14
6274,台燿,5499000,2.72
6278,台表科,3250000,0.17
6488,環球晶,1000,0.0
6510,精測,261000,0.24
6515,穎崴,23000,0.05
6669,緯穎,2708000,5.49
6805,富世達,2053000,1.17
8046,南電,9519000,3.4
8150,南茂,1000,0.0
8210,勤誠,2497000,1.0
8358,金居,1000,0.0
8996,高力,712000,0.26
