股票代號,股票名稱,股數,成本市值
1210,大成,0,0.0
1560,中砂,0,0.0
2059,川湖,0,0.0
2308,台達電,7354000,11235455191.848852
2317,鴻海,2000,577993.1572465897
2330,台積電,12409000,24334530039.614693
2345,智邦,6897000,11339338535.14446
2354,鴻準,0,0.0
2357,華碩,0,0.0
2368,金像電,0,0.0
2383,台光電,5193000,16815366842.72572
2439,美律,20000,1764000.0
2449,京元電子,20938900,5739150785.320488
2454,聯發科,6033000,17374500262.707508
2481,強茂,10000,1330000.0
2618,長榮航,0,0.0
2884,玉山金,0,0.0
2886,兆豐金,0,0.0
3008,大立光,2000,5941367.78115499
3017,奇鋐,7642000,15694106461.14072
3045,台灣大,0,0.0
3131,弘塑,0,0.0
3211,順達,0,0.0
3217,優群,0,7.450580596923828e-09
3231,緯創,0,0.0
3376,新日興,1741000,372698500.0
3529,力旺,0,0.0
3533,嘉澤,260000,637966395.1120164
3583,辛耘,0,0.0
3653,健策,2523000,8779977523.129791
3661,世芯-KY,0,0.0
3665,貿聯-KY,4583848,8565637308.512018
4770,上品,0,0.0
4958,臻鼎-KY,3290000,1839096307.966706
4966,譜瑞-KY,0,0.0
5347,世界,2000,309000.0
6139,亞翔,0,0.0
6143,振曜,0,0.0
6223,旺矽,2874000,11434660638.310291
6274,台燿,7107000,8035221851.235286
6278,台表科,6498000,1425451896.6312876
6472,保瑞,0,0.0
6515,穎崴,0,0.0
6669,緯穎,2405000,11974233314.605589
6757,台灣虎航,0,0.0
6805,富世達,2767000,4693150790.988098
8028,昇陽半導體,0,0.0
8046,南電,5730000,4621721963.110595
8210,勤誠,3414000,4086597337.200226
8996,高力,2200000,2405073569.4822884
3264,欣銓,14846000,3408908764.0086203
3406,玉晶光,0,0.0
3515,華擎,0,0.0
3711,日月光投控,29181000,17282575600.157562
2344,華邦電,0,0.0
6191,精成科,3988000,476855340.1455027
3037,欣興,31365000,25070923318.854416
1303,南亞,0,0.0
5274,信驊,277800,3694504905.445585
5536,聖暉*,0,0.0
8299,群聯,0,0.0
2327,國巨*,34753000,20220587445.63644
1319,東陽,0,0.0
3715,定穎投控,0,0.0
6510,精測,432000,1215423041.4746542
3044,健鼎,0,0.0
8358,金居,0,0.0
3081,聯亞,0,0.0
2404,漢唐,0,0.0
2313,華通,0,0.0
2337,旺宏,0,0.0
5269,祥碩,0,0.0
1605,華新,0,0.0
6488,環球晶,2000,1900000.0
1802,台玻,0,0.0
1815,富喬,0,0.0
6415,矽力*-KY,0,0.0
1326,台化,0,0.0
4979,華星光,4848000,2185022000.0
2002,中鋼,5163000,106998900.0
3324,雙鴻,0,0.0
3189,景碩,0,0.0
2408,南亞科,2000,891000.0
3443,創意,141000,793830000.0
6187,萬潤,92000,114320831.02493072
6147,頎邦,0,0.0
5439,高技,0,0.0
2303,聯電,131662000,14781558207.274973
7769,鴻勁,0,0.0
1590,亞德客-KY,0,0.0
8150,南茂,0,0.0
3036,文曄,0,0.0
6271,同欣電,5446000,1305321037.5072129
2382,廣達,2000,728899.8345892429
2360,致茂,588000,1216261929.26045
2049,上銀,0,0.0
2637,慧洋-KY,400000,36720000.0
