日期,股票代號,股票名稱,賣出股數,平均單位成本,賣出價格,總投資成本,實現損益,報酬率
2025-10-23,1303,南亞,3642000,40.3559,43.4,146976264.47,11086535.53,0.0754
2025-11-12,8996,高力,48000,478.023,522.0,22945105.93,2110894.07,0.092
2025-11-24,3406,玉晶光,32000,441.7799,459.0,14136958.12,551041.88,0.039
2025-12-11,1303,南亞,4129000,56.2295,59.9,232171652.6,15155447.4,0.0653
2025-12-24,6139,亞翔,746000,455.6422,563.0,339909106.05,80088893.95,0.2356
2026-01-02,3231,緯創,400000,145.1921,155.0,58076836.6,3923163.4,0.0676
2026-01-21,1303,南亞,1600000,60.2683,73.7,96429233.35,21490766.65,0.2229
2026-01-22,2317,鴻海,219000,228.9033,223.5,50129825.57,-1183325.57,-0.0236
2026-02-26,1303,南亞,6260000,74.6992,91.8,467617000.0,107051000.0,0.2289
2026-05-12,2317,鴻海,3612000,227.6144,250.0,822143378.71,80856621.29,0.0983
2026-05-13,3661,世芯-KY,89000,3741.6783,4780.0,333009364.42,92410635.58,0.2775
2026-05-15,3443,創意,472000,3197.3704,4845.0,1509158837.7,777681162.3,0.5153
2026-05-21,2357,華碩,1167000,445.6017,656.0,520017187.88,245534812.12,0.4722
2026-05-25,3217,優群,382000,165.0051,200.0,63031966.82,13368033.18,0.2121
2026-05-27,2313,華通,1829000,254.0662,282.0,464687141.98,51090858.02,0.1099
2026-05-29,2449,京元電子,557000,295.6999,328.5,164704843.95,18269656.05,0.1109
2026-06-01,3264,欣銓,2146000,197.9844,223.0,424874491.03,53683508.97,0.1264
2026-06-02,8358,金居,980000,277.121,627.0,271578536.01,342881463.99,1.2625
2026-06-22,3443,創意,67000,4500.5247,4755.0,301535154.32,17049845.68,0.0565
2026-06-22,8996,高力,354000,1065.6191,1555.0,377229157.24,173240842.76,0.4592
2026-06-23,8150,南茂,1745000,30.2433,106.5,52774510.43,133067989.57,2.5214
2026-07-01,4966,譜瑞-KY,278000,756.7452,623.0,210375158.68,-37181158.68,-0.1767
2026-07-02,6510,精測,163000,3612.2097,3240.0,588790184.66,-60670184.66,-0.103
