股票代號,股票名稱_昨,股數_昨,持股權重_昨,股票名稱_今,股數_今,持股權重_今,_merge,股數變動,持股權重變動
1210,大成,754000,0.59,大成,754000,0.59,both,0,0.0
1303,南亞,3541000,1.77,南亞,3541000,1.77,both,0,0.0
1560,中砂,1000,0.0,中砂,1000,0.0,both,0,0.0
2059,川湖,86000,3.47,川湖,86000,3.47,both,0,0.0
2308,台達電,687000,5.96,台達電,687000,5.96,both,0,0.0
2317,鴻海,1704000,4.51,鴻海,1704000,4.51,both,0,0.0
2327,國巨,1000,0.01,國巨,1000,0.01,both,0,0.0
2330,台積電,576000,9.22,台積電,576000,9.22,both,0,0.0
2345,智邦,407000,5.48,智邦,407000,5.48,both,0,0.0
2357,華碩,399000,3.7,華碩,399000,3.7,both,0,0.0
2368,金像電,553000,3.08,金像電,553000,3.08,both,0,0.0
2382,廣達,562000,2.22,廣達,562000,2.22,both,0,0.0
2383,台光電,300000,4.7,台光電,300000,4.7,both,0,0.0
2439,美律,1000,0.0,美律,1000,0.0,both,0,0.0
2454,聯發科,136000,2.5,聯發科,136000,2.5,both,0,0.0
2609,陽明,455000,0.38,陽明,455000,0.38,both,0,0.0
2618,長榮航,430000,0.23,長榮航,430000,0.23,both,0,0.0
2884,玉山金,6155010,2.79,玉山金,6155010,2.79,both,0,0.0
2886,兆豐金,133000,0.07,兆豐金,133000,0.07,both,0,0.0
2891,中信金,774000,0.45,中信金,774000,0.45,both,0,0.0
3008,大立光,1000,0.03,大立光,1000,0.03,both,0,0.0
3017,奇鋐,489000,7.26,奇鋐,489000,7.26,both,0,0.0
3044,健鼎,574000,2.44,健鼎,574000,2.44,both,0,0.0
3045,台灣大,43000,0.06,台灣大,43000,0.06,both,0,0.0
3217,優群,172000,0.39,優群,172000,0.39,both,0,0.0
3231,緯創,1247000,2.11,緯創,1247000,2.11,both,0,0.0
3515,華擎,1000,0.0,華擎,1000,0.0,both,0,0.0
3533,嘉澤,68000,1.38,嘉澤,68000,1.38,both,0,0.0
3605,宏致,637000,0.56,宏致,637000,0.56,both,0,0.0
3653,健策,157000,3.23,健策,157000,3.23,both,0,0.0
3661,世芯-KY,90000,4.71,世芯-KY,90000,4.71,both,0,0.0
3665,貿聯-KY,493848,6.54,貿聯-KY,493848,6.54,both,0,0.0
3706,神達,1465000,1.65,神達,1465000,1.65,both,0,0.0
4770,上品,287000,1.2,上品,287000,1.2,both,0,0.0
4958,臻鼎-KY,919000,1.61,臻鼎-KY,919000,1.61,both,0,0.0
5274,信驊,22000,1.43,信驊,22000,1.43,both,0,0.0
5347,世界,232000,0.3,世界,232000,0.3,both,0,0.0
6139,亞翔,61000,0.28,亞翔,61000,0.28,both,0,0.0
6143,振曜,343000,0.56,振曜,343000,0.56,both,0,0.0
6223,旺矽,34000,0.53,旺矽,34000,0.53,both,0,0.0
6274,台燿,212000,0.79,台燿,212000,0.79,both,0,0.0
6278,台表科,1000,0.0,台表科,1000,0.0,both,0,0.0
6510,精測,93000,1.22,精測,93000,1.22,both,0,0.0
6515,穎崴,85000,1.33,穎崴,85000,1.33,both,0,0.0
6669,緯穎,1000,0.04,緯穎,1000,0.04,both,0,0.0
6757,台灣虎航,192000,0.22,台灣虎航,192000,0.22,both,0,0.0
8046,南電,927000,2.13,南電,927000,2.13,both,0,0.0
8069,元太,1000,0.0,元太,1000,0.0,both,0,0.0
8210,勤誠,370000,2.94,勤誠,370000,2.94,both,0,0.0
8996,高力,193000,0.81,高力,193000,0.81,both,0,0.0
