股票代號,收盤價
1303,91.6
1319,74.8
1590,1490.0
2002,19.0
2303,74.5
2308,2165.0
2313,230.0
2317,225.0
2327,322.0
2330,2180.0
2337,167.0
2345,2210.0
2357,588.0
2368,1360.0
2383,4440.0
2404,959.0
2439,88.4
2449,283.5
2454,2575.0
2481,101.0
3017,2835.0
3037,803.0
3189,508.0
3376,205.0
3443,4120.0
3653,5445.0
3661,4005.0
3665,2780.0
3711,488.5
6191,102.5
6415,393.0
6515,10185.0
6669,4845.0
6805,2070.0
7769,5220.0
8046,916.0
8210,1120.0
8996,1140.0
1815,110.5
3217,168.5
3264,199.5
4966,568.0
4979,560.0
5274,16555.0
5439,386.5
6147,158.0
6223,4945.0
6274,975.0
6510,3630.0
8358,369.5
