股票代號,今日股數,今日權重%,昨日股數,昨日權重%,股票名稱,買賣超股數,權重Δ%,首次買進,關鍵賣出
1210,0.0,0.0,754000,1.363032,大成,-754000,-1.36,False,True
1560,0.0,0.0,1000,0.001808,中砂,-1000,-0.0,False,True
2059,0.0,0.0,57000,0.103041,川湖,-57000,-0.1,False,True
2308,0.0,0.0,1095000,1.979469,台達電,-1095000,-1.98,False,True
2317,0.0,0.0,1000,0.001808,鴻海,-1000,-0.0,False,True
2330,0.0,0.0,1601000,2.894183,台積電,-1601000,-2.89,False,True
2345,0.0,0.0,1162000,2.100587,智邦,-1162000,-2.1,False,True
2354,0.0,0.0,2204000,3.984247,鴻準,-2204000,-3.98,False,True
2357,0.0,0.0,788000,1.424495,華碩,-788000,-1.42,False,True
2368,0.0,0.0,1887000,3.411195,金像電,-1887000,-3.41,False,True
2383,0.0,0.0,926000,1.673962,台光電,-926000,-1.67,False,True
2439,0.0,0.0,1000,0.001808,美律,-1000,-0.0,False,True
2449,0.0,0.0,5977000,10.804829,京元電子,-5977000,-10.8,False,True
2454,0.0,0.0,523000,0.945445,聯發科,-523000,-0.95,False,True
2481,0.0,0.0,2175000,3.931823,強茂,-2175000,-3.93,False,True
2618,0.0,0.0,430000,0.777326,長榮航,-430000,-0.78,False,True
2884,0.0,0.0,14977010,27.074458,玉山金,-14977010,-27.07,False,True
2886,0.0,0.0,818000,1.478727,兆豐金,-818000,-1.48,False,True
3008,0.0,0.0,32000,0.057848,大立光,-32000,-0.06,False,True
3017,0.0,0.0,869000,1.570921,奇鋐,-869000,-1.57,False,True
3045,0.0,0.0,43000,0.077733,台灣大,-43000,-0.08,False,True
3131,0.0,0.0,206000,0.372393,弘塑,-206000,-0.37,False,True
3211,0.0,0.0,102000,0.184389,順達,-102000,-0.18,False,True
3217,0.0,0.0,1000,0.001808,優群,-1000,-0.0,False,True
3231,0.0,0.0,998000,1.804119,緯創,-998000,-1.8,False,True
3376,0.0,0.0,800000,1.446188,新日興,-800000,-1.45,False,True
3529,0.0,0.0,80000,0.144619,力旺,-80000,-0.14,False,True
3533,0.0,0.0,159000,0.28743,嘉澤,-159000,-0.29,False,True
3583,0.0,0.0,888000,1.605268,辛耘,-888000,-1.61,False,True
3653,0.0,0.0,388000,0.701401,健策,-388000,-0.7,False,True
3661,0.0,0.0,291000,0.526051,世芯-KY,-291000,-0.53,False,True
3665,0.0,0.0,1183848,2.140083,貿聯-KY,-1183848,-2.14,False,True
4770,0.0,0.0,420000,0.759248,上品,-420000,-0.76,False,True
4958,0.0,0.0,4298000,7.769643,臻鼎-KY,-4298000,-7.77,False,True
4966,0.0,0.0,161000,0.291045,譜瑞-KY,-161000,-0.29,False,True
5347,0.0,0.0,232000,0.419394,世界,-232000,-0.42,False,True
6139,0.0,0.0,1000,0.001808,亞翔,-1000,-0.0,False,True
6143,0.0,0.0,1000,0.001808,振曜,-1000,-0.0,False,True
6223,0.0,0.0,525000,0.949061,旺矽,-525000,-0.95,False,True
6274,0.0,0.0,1578000,2.852605,台燿,-1578000,-2.85,False,True
6278,0.0,0.0,1000,0.001808,台表科,-1000,-0.0,False,True
6472,0.0,0.0,251000,0.453741,保瑞,-251000,-0.45,False,True
6515,0.0,0.0,1000,0.001808,穎崴,-1000,-0.0,False,True
6669,0.0,0.0,182000,0.329008,緯穎,-182000,-0.33,False,True
6757,0.0,0.0,142000,0.256698,台灣虎航,-142000,-0.26,False,True
6805,0.0,0.0,386000,0.697786,富世達,-386000,-0.7,False,True
8028,0.0,0.0,1499000,2.709794,昇陽半導體,-1499000,-2.71,False,True
8046,0.0,0.0,3399000,6.14449,南電,-3399000,-6.14,False,True
8210,0.0,0.0,822000,1.485958,勤誠,-822000,-1.49,False,True
8996,0.0,0.0,1000,0.001808,高力,-1000,-0.0,False,True
