股票代號,今日股數,今日權重%,昨日股數,昨日權重%,股票名稱,買賣超股數,權重Δ%,首次買進,關鍵賣出,今日收盤價,昨日收盤價
1590,1000,0.0,1000,0.0,亞德客-KY,0,0.0,False,False,1465.0,1460.0
2002,5163000,0.03,5163000,0.03,中鋼,0,0.0,False,False,18.85,19.0
2303,87718000,3.45,87718000,3.4,聯電,0,0.05,False,False,121.5,121.0
2308,7070000,4.32,7070000,4.27,台達電,0,0.05,False,False,1885.0,1885.0
2313,1000,0.0,1000,0.0,華通,0,0.0,False,False,211.0,215.5
2317,1000,0.0,1000,0.0,鴻海,0,0.0,False,False,255.0,259.5
2327,25437000,5.01,25437000,5.06,國巨*,0,-0.05,False,False,608.0,622.0
2330,12134000,9.43,12134000,9.3,台積電,0,0.13,False,False,2400.0,2395.0
2345,6594000,4.89,6594000,4.85,智邦,0,0.04,False,False,2290.0,2300.0
2360,622000,0.48,622000,0.46,致茂,0,0.02,False,False,2360.0,2300.0
2368,3500000,1.15,4000000,1.3,金像電,-500000,-0.15,False,False,1010.0,1015.0
2382,1000,0.0,1000,0.0,廣達,0,0.0,False,False,333.5,327.5
2383,4863000,10.0,4863000,9.6,台光電,0,0.4,False,False,6350.0,6165.0
2408,1000,0.0,1000,0.0,南亞科,0,0.0,False,False,524.0,512.0
2439,1000,0.0,1000,0.0,美律,0,0.0,False,False,79.7,80.7
2449,11295450,0.91,11295450,0.89,京元電子,0,0.02,False,False,248.5,247.0
2454,5448000,7.15,5448000,7.34,聯發科,0,-0.19,False,False,4050.0,4210.0
2481,5000,0.0,5000,0.0,強茂,0,0.0,False,False,144.5,138.0
3008,1000,0.0,1000,0.0,大立光,0,0.0,False,False,5070.0,4610.0
3017,5900000,6.02,5900000,6.11,奇鋐,0,-0.09,False,False,3150.0,3235.0
3037,20330000,7.38,20210000,6.6,欣興,120000,0.78,False,False,1120.0,1020.0
3264,5918000,0.42,5918000,0.43,欣銓,0,-0.01,False,False,219.0,225.5
3376,1741000,0.11,1741000,0.11,新日興,0,0.0,False,False,193.0,189.5
3443,1000,0.0,1000,0.0,創意,0,0.0,False,False,5850.0,5465.0
3533,1000,0.0,1000,0.0,嘉澤,0,0.0,False,False,1700.0,1720.0
3653,2375000,4.11,2375000,3.69,健策,0,0.42,False,False,5340.0,4855.0
3661,1000,0.0,1000,0.0,世芯-KY,0,0.0,False,False,4060.0,4210.0
3665,4616848,3.19,4616848,3.25,貿聯-KY,0,-0.06,False,False,2135.0,2200.0
3711,19529000,3.89,19529000,3.85,日月光投控,0,0.04,False,False,615.0,616.0
4958,1682000,0.27,1682000,0.26,臻鼎-KY,0,0.01,False,False,503.0,489.5
4966,140000,0.03,140000,0.03,譜瑞-KY,0,0.0,False,False,565.0,570.0
4979,2424000,0.43,2424000,0.41,華星光,0,0.02,False,False,545.0,522.0
5274,484900,2.67,484900,2.75,信驊,0,-0.08,False,False,17020.0,17690.0
5347,1000,0.0,1000,0.0,世界,0,0.0,False,False,162.0,160.5
6187,1334000,0.6,1334000,0.54,萬潤,0,0.06,False,False,1385.0,1275.0
6191,3988000,0.11,3988000,0.11,精成科,0,0.0,False,False,85.8,85.8
6223,2443000,4.59,2443000,5.04,旺矽,0,-0.45,False,False,5800.0,6440.0
6271,2224000,0.14,2224000,0.14,同欣電,0,0.0,False,False,198.0,194.0
6274,5499000,2.85,5499000,2.95,台燿,0,-0.1,False,False,1600.0,1675.0
6278,3250000,0.18,3250000,0.18,台表科,0,0.0,False,False,175.0,173.0
6488,1000,0.0,1000,0.0,環球晶,0,0.0,False,False,1020.0,1010.0
6510,478000,0.45,478000,0.46,精測,0,-0.01,False,False,2880.0,2990.0
6515,1000,0.0,13000,0.03,穎崴,-12000,-0.03,False,False,6610.0,6750.0
6669,2496000,5.35,2496000,5.14,緯穎,0,0.21,False,False,6620.0,6435.0
6805,2265000,1.41,2265000,1.31,富世達,0,0.1,False,False,1925.0,1805.0
8046,9634000,4.04,9634000,4.02,南電,0,0.02,False,False,1295.0,1305.0
8150,1000,0.0,1000,0.0,南茂,0,0.0,False,False,91.5,91.9
8210,2497000,0.82,2497000,0.8,勤誠,0,0.02,False,False,1010.0,1000.0
8358,1000,0.0,1000,0.0,金居,0,0.0,False,False,419.5,428.5
8996,1102000,0.43,802000,0.33,高力,300000,0.1,False,False,1215.0,1280.0
